CELL_LINE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SYNERGY_SCORE,QA,COMBINATION_ID
HCT-116,IAP,PTK2,3,0.1,0.032970329,10,0,1.01E-05,7.2221006,0,6737.175,-1,IAP.PTK2
HCT-116,IAP,PARP1,10,0.1,0.11397105,10,0,1.00E-05,1.368599,12.9596392,1198.91,-1,IAP.PARP1
NCI-SNU-16,IAP,TNF,0.1,3,0.004643747,0.767583,53.52589061,3,1.7210389,6.16115763,237.3764,1,IAP.TNF
RT4,ERBB,FGFR,3,3,0.412099332,0.9823207,31.58144122,1,0,100,220.3445,1,ERBB.FGFR
SW780,IAP,TNF,0.1,3,0.002914554,10,40.53317637,0.022429616,0.1194705,0,164.874,-2,IAP.TNF
RKO,BRAF_M2,MAP2K_1,3,3,1,0,100,1,0,100,134.7897,-1,BRAF_M2.MAP2K_1
KATOIII,IAP,TNF,0.1,3,1.23E-05,0.1,50.84358665,0.013876776,0.9813306,53.92769257,134.1807,1,IAP.TNF
UM-UC-3,IAP,TNF,0.03,0.03,0.03,0.1388606,42.69164385,0.002443332,1.5035209,65.23812005,128.0718,-3,IAP.TNF
MCF7,AKT_1,ESR1_1,3,3,3.00E-04,0.1,29.87252246,0.146780963,0.3700867,19.51899247,127.2922,1,AKT_1.ESR1_1
BT-474,BCL2L1,IAP,3,3,3,10,24.80047418,0.595863612,4.0989465,85.02013567,121.9394,-1,BCL2L1.IAP
BT-474,AKT,BCL2L1,3,3,0.288792188,10,76.09960907,0.294129015,1.620343,4.16270981,118.1512,1,AKT.BCL2L1
T-24,IAP,TNF,0.03,1,0.010346875,10,92.29980852,0.61696833,0.7477258,66.82899393,116.4672,1,IAP.TNF
MDA-MB-468,ERBB,MAP2K_1,1,1,1,0,100,0.282733442,10,94.0998588,114.8552,1,ERBB.MAP2K_1
BFTC-905,AKT,ERBB,3,3,1,0,100,0.304681813,10,54.69988135,114.3452,1,AKT.ERBB
A549,BRAF_M2,MAP2K_1,3,3,2.628703594,0.8481037,45.09892589,3,10,74.60029114,112.3072,1,BRAF_M2.MAP2K_1
NCI-H3122,BRAF_M2,MAP2K_1,3,3,0.923468541,0.6207244,0,1.050458019,10,48.59853213,110.5551,-1,BRAF_M2.MAP2K_1
MDA-MB-468,BRAF_M2,MAP2K_1,3,3,0.167283874,0.5630047,79.90321401,0.453331959,2.6443843,52.06167971,110.0426,1,BRAF_M2.MAP2K_1
BFTC-905,AKT,TNF,0.1,3,0.002355389,1.3525166,42.58467023,0.134912816,2.8429019,43.86521526,108.1946,1,AKT.TNF
NCI-H2291,BCL2L1,CarboTaxol,0.3,3,0.003596467,3.1723844,51.58548977,0.097285459,1.2808749,22.64047671,107.0726,1,BCL2L1.CarboTaxol
MDA-MB-468,AKT,ERBB,3,3,3,0.2117174,36.94962351,2.392358916,10,0,106.8248,1,AKT.ERBB
NCI-H520,BRAF_M2,MAP2K_3,0.3,3,0.073056106,3.2201224,82.00749108,1,0,100,104.7569,1,BRAF_M2.MAP2K_3
NCI-H2170,PIM1,TOP2_2,3,3,1.8445661,2.0630733,0,1,0,100,103.6661,1,PIM1.TOP2_2
M14,BCL2_BCL2L1,PIM1,1,1,1,0,100,0.303262622,1.8883404,34.59945242,103.5371,-1,BCL2_BCL2L1.PIM1
MDA-MB-468,EGFR,MAP2K_1,1,0.1,0.194287655,2.9571838,92.2709394,0.028376821,2.9416662,81.26014248,100.9543,1,EGFR.MAP2K_1
DMS-114,BRAF_M2,MAP2K_3,0.3,3,0.165001855,0.555248,0,3,0.5653785,30.62164251,100.7365,1,BRAF_M2.MAP2K_3
MDA-MB-453,BRAF_M2,MAP2K_3,0.3,3,0.072312474,1.566113,26.5371895,1.30996117,10,87.29679978,95.24409,1,BRAF_M2.MAP2K_3
NCI-H2085,BCL2L1,CarboTaxol,1,3,1.00E-04,0.1,14.77565078,0.099123234,1.8962371,61.71647894,95.21907,1,BCL2L1.CarboTaxol
NCI-H2291,BCL2L1,IAP,3,3,1.167032028,10,80.09841882,0.094250109,10,30.26627834,93.26844,1,BCL2L1.IAP
MDA-MB-468,ALK_IGFR,PIK3CB_PIK3CD,1,1,1,10,51.00001654,1,0,100,92.87635,1,ALK_IGFR.PIK3CB_PIK3CD
BT-20,AKT,BCL2L1,3,3,0.109376563,2.3926785,90.05700742,0.379082606,1.4785709,28.06385303,90.44495,1,AKT.BCL2L1
NCI-H838,ALK_2,TOP2,3,3,2.061350586,1.5962301,0,2.763213985,0.792224,0,88.16166,1,ALK_2.TOP2
