Unnamed: 0,HBA,cLogP,HBD,Lipinski,MW
0.0,4.966,2.262380000000009,3.277,0.213,419.7429000000002
1.0,4.966,2.262380000000009,3.277,0.213,419.7429000000002
2.0,4.966,2.262380000000009,3.277,0.213,419.7429000000002
3.0,4.966,2.262380000000009,3.277,0.213,419.7429000000002
4.0,4.966,2.262380000000009,3.277,0.213,419.7429000000002
5.0,4.966,2.262380000000009,3.277,0.213,419.7429000000002
6.0,4.966,2.262380000000009,3.277,0.213,419.7429000000002
7.0,4.966,2.262380000000009,3.277,0.213,419.7429000000002
8.0,4.966,2.262380000000009,3.277,0.213,419.7429000000002
9.0,4.966,2.262380000000009,3.277,0.213,419.7429000000002
10.0,4.966,2.262380000000009,3.277,0.213,419.7429000000002
11.0,4.966,2.262380000000009,3.277,0.213,419.7429000000002
12.0,4.966,2.262380000000009,3.277,0.213,419.7429000000002
13.0,4.966,2.262380000000009,3.277,0.213,419.7429000000002
14.0,4.966,2.262380000000009,3.277,0.213,419.7429000000002
15.0,8.0,4.28,1.0,1.0,547.7
16.0,4.0,5.44,0.0,1.0,413.5
17.0,8.0,4.39,1.0,1.0,582.7
18.0,8.0,4.43,3.0,0.0,463.6
19.0,6.0,4.29,3.0,0.0,450.3
20.0,8.0,1.18,5.0,0.0,428.9
21.0,6.0,3.24,3.0,0.0,407.5
22.0,8.0,3.89,2.0,1.0,532.1
23.0,7.0,4.08,4.0,0.0,449.0
24.0,6.0,3.35,1.0,0.0,464.4
25.0,7.0,0.44,1.0,0.0,398.5
26.0,7.0,0.96,1.0,0.0,412.5
27.0,8.0,0.59,2.0,0.0,412.5
28.0,11.0,12.39,2.0,3.0,974.6
29.0,11.0,9.62,4.0,3.0,945.5
30.0,9.0,3.05,2.0,1.0,651.8
31.0,12.0,0.32,7.0,3.0,543.5
32.0,6.0,3.11,5.0,0.0,362.4
33.0,10.0,3.02,3.0,0.0,447.5
34.0,10.0,2.12,5.0,0.0,419.5
35.0,9.0,0.52,1.0,0.0,372.4
36.0,8.0,4.49,2.0,0.0,485.9
37.0,7.0,5.6,1.0,1.0,446.9
38.0,8.0,4.51,2.0,0.0,473.9
39.0,7.0,4.29,3.0,0.0,404.4
40.0,8.0,4.17,3.0,0.0,438.4
41.0,6.0,4.8,0.0,0.0,462.6
42.0,9.0,3.59,2.0,0.0,463.5
43.0,6.0,4.0,3.0,0.0,421.5
44.0,9.0,4.29,2.0,1.0,507.0
45.0,7.0,1.59,3.0,0.0,395.5
46.0,8.0,2.01,3.0,0.0,348.8
47.0,11.0,4.12,3.0,1.0,470.5
48.0,8.0,2.08,4.0,0.0,498.5
49.0,7.0,3.88,3.0,0.0,457.7
50.0,7.0,3.22,3.0,0.0,456.2
51.0,9.0,4.98,2.0,1.0,615.4
52.0,12.0,5.94,2.0,3.0,778.9
53.0,9.0,2.59,1.0,0.0,465.6
54.0,7.0,-0.71,4.0,0.0,263.2
55.0,7.0,1.24,1.0,0.0,434.5
56.0,6.0,0.73,1.0,0.0,395.4
57.0,7.0,2.13,3.0,0.0,441.5
58.0,10.0,2.63,1.0,1.0,513.6
59.0,7.0,1.67,1.0,0.0,457.5
60.0,8.0,1.58,2.0,0.0,410.4
61.0,5.0,3.18,3.0,0.0,379.5
62.0,6.0,-2.34,4.0,0.0,369.2
63.0,2.0,-0.62,4.0,0.0,114.2
64.0,9.0,2.38,0.0,1.0,519.6
65.0,7.0,1.97,2.0,0.0,392.4
66.0,10.0,4.11,1.0,1.0,542.0
67.0,15.0,4.08,5.0,2.0,807.9
68.0,8.0,0.73,2.0,0.0,421.5
69.0,13.0,0.03,3.0,2.0,588.6
70.0,9.0,2.47,1.0,0.0,462.6
71.0,9.0,3.62,1.0,0.0,452.6
72.0,6.0,5.84,1.0,1.0,475.4
73.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
74.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
75.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
76.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
77.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
78.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
79.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
80.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
81.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
82.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
83.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
84.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
85.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
86.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
87.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
88.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
89.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
90.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
91.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
92.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
93.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
94.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
95.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
96.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
97.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
98.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
99.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
100.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
101.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
102.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
103.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
104.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
105.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
106.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
107.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
108.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
109.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
110.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
111.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
112.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
113.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
114.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
115.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
116.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
117.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
118.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
119.0,5.079,1.2578000000000025,3.01,0.099,402.4961000000011
