,HBA,cLogP,HBD,Lipinski,MW
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
3,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
4,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
6,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
7,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
8,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
9,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
10,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
11,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
12,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
13,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
14,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
15,8.0,4.28,1.0,1.0,547.7
16,4.0,5.44,0.0,1.0,413.5
17,8.0,4.39,1.0,1.0,582.7
18,8.0,4.43,3.0,0.0,463.6
19,6.0,4.29,3.0,0.0,450.3
20,8.0,1.18,5.0,0.0,428.9
21,6.0,3.24,3.0,0.0,407.5
22,8.0,3.89,2.0,1.0,532.1
23,7.0,4.08,4.0,0.0,449.0
24,6.0,3.35,1.0,0.0,464.4
25,7.0,0.44,1.0,0.0,398.5
26,7.0,0.96,1.0,0.0,412.5
27,8.0,0.59,2.0,0.0,412.5
28,11.0,12.39,2.0,3.0,974.6
29,11.0,9.62,4.0,3.0,945.5
30,9.0,3.05,2.0,1.0,651.8
31,12.0,0.32,7.0,3.0,543.5
32,6.0,3.11,5.0,0.0,362.4
33,10.0,3.02,3.0,0.0,447.5
34,10.0,2.12,5.0,0.0,419.5
35,9.0,0.52,1.0,0.0,372.4
36,8.0,4.49,2.0,0.0,485.9
37,7.0,5.6,1.0,1.0,446.9
38,8.0,4.51,2.0,0.0,473.9
39,7.0,4.29,3.0,0.0,404.4
40,8.0,4.17,3.0,0.0,438.4
41,6.0,4.8,0.0,0.0,462.6
42,9.0,3.59,2.0,0.0,463.5
43,6.0,4.0,3.0,0.0,421.5
44,9.0,4.29,2.0,1.0,507.0
45,7.0,1.59,3.0,0.0,395.5
46,8.0,2.01,3.0,0.0,348.8
47,11.0,4.12,3.0,1.0,470.5
48,8.0,2.08,4.0,0.0,498.5
49,7.0,3.88,3.0,0.0,457.7
50,7.0,3.22,3.0,0.0,456.2
51,9.0,4.98,2.0,1.0,615.4
52,12.0,5.94,2.0,3.0,778.9
53,9.0,2.59,1.0,0.0,465.6
54,7.0,-0.71,4.0,0.0,263.2
55,7.0,1.24,1.0,0.0,434.5
56,6.0,0.73,1.0,0.0,395.4
57,7.0,2.13,3.0,0.0,441.5
58,10.0,2.63,1.0,1.0,513.6
59,7.0,1.67,1.0,0.0,457.5
60,8.0,1.58,2.0,0.0,410.4
61,5.0,3.18,3.0,0.0,379.5
62,6.0,-2.34,4.0,0.0,369.2
63,2.0,-0.62,4.0,0.0,114.2
64,9.0,2.38,0.0,1.0,519.6
65,7.0,1.97,2.0,0.0,392.4
66,10.0,4.11,1.0,1.0,542.0
67,15.0,4.08,5.0,2.0,807.9
68,8.0,0.73,2.0,0.0,421.5
69,13.0,0.03,3.0,2.0,588.6
70,9.0,2.47,1.0,0.0,462.6
71,9.0,3.62,1.0,0.0,452.6
72,6.0,5.84,1.0,1.0,475.4
73,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
74,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
75,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
76,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
77,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
