CELL_LINE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,A_HBA,A_cLogP,A_HBD,A_Lipinski,A_MW,A_ALogP/XLogP,A_PSA,A_#RotBonds,A_Arom Rings,A_Heavy atoms,A_QED,B_HBA,B_cLogP,B_HBD,B_Lipinski,B_MW,B_ALogP/XLogP,B_PSA,B_#RotBonds,B_Arom Rings,B_Heavy atoms,B_QED
BT-20,ADAM17,AKT,1,75,1,0.8090022,59.12243638,9.639713632,0.7579769,91.59342459,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57
CAL-51,ADAM17,AKT,1,75,1,0.7269842,11.15084267,75,0.3750427,76.65647869,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57
HCC1187,ADAM17,AKT,1,75,0.410029094,1.4969009,51.9212647,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57
HCC1806,ADAM17,AKT,1,75,0.313992099,10,63.39963528,75,0.39257,48.6500541,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57
HCC1937,ADAM17,AKT,1,75,1,0.7718302,41.52955424,1.677923529,1.1194872,92.18802938,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57
HCC70,ADAM17,AKT,1,75,0.273313342,4.4425604,17.44189655,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57
MDA-MB-231,ADAM17,AKT,1,75,1,10,67.00001656,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57
MDA-MB-436,ADAM17,AKT,1,75,0.180147182,3.0950757,75.7680796,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57
MDA-MB-453,ADAM17,AKT,1,75,0.282663543,2.2634551,34.21972294,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57
M14,ADAM17,AKT,1,75,0.276412346,3.7493134,36.29259006,0.0075,0.1,83.93705267,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57
