,CELL_LINE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SYNERGY_SCORE,A_HBA,A_cLogP,A_HBD,A_Lipinski,A_MW,A_ALogP/XLogP,A_PSA,A_#RotBonds,A_Arom Rings,A_Heavy atoms,A_QED,B_HBA,B_cLogP,B_HBD,B_Lipinski,B_MW,B_ALogP/XLogP,B_PSA,B_#RotBonds,B_Arom Rings,B_Heavy atoms,B_QED,GEX_CLUSTER,ORIGIN_CLUSTER,THERAPY_CLUSTER,Target_share,Target_interaction
2135,HCC1428,PIK3CB_PIK3CD,TNKS_PARP6,1.0,1.0,0.028042388,10.0,45.36644702,1.0,0.0,100.0,5.694801,7.0,1.67,1.0,0.0,457.5,1.43671,99.50709,4.289,2.737,30.49,0.62948,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,2,1,2,0,0.0
1662,HT-29,IAP,JAK,3.0,1.0,2.79237751,10.0,0.0,1.0,0.0,100.0,-4.9160900000000005,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,8.0,2.01,3.0,0.0,348.8,2.37,104.3,5.0,3.0,24.0,0.65,0,0,2,0,0.47926524231370504
192,MDA-MB-415,AKT,CSNK2A1_2,0.1,3.0,0.01055313,1.4746818000000002,15.6181404,0.002083389,0.7465616,14.36860307,15.69866,8.0,1.18,5.0,0.0,428.9,1.32,120.16,6.0,3.0,30.0,0.57,10.0,2.12,5.0,0.0,419.5,1.36,136.39,8.0,3.0,31.0,0.43,2,1,3,0,0.4987488721804511
1742,RKO,IAP,PTK2,3.0,1.0,0.554513496,2.9263628,4.07459438,0.01237373,0.7512734999999999,81.26427602,50.71988,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,7.0,4.29,3.0,0.0,404.4,2.90682,90.94507,4.059,2.497,29.963,0.68621,6,0,2,0,0.45273881833241303
302,MDA-MB-436,AKT,PIK3CA_4,1.0,1.0,0.28931649,3.0080575,85.76780278,0.189363794,2.9793118,72.95327884,-9.456454,8.0,1.18,5.0,0.0,428.9,1.32,120.16,6.0,3.0,30.0,0.57,7.0,2.13,3.0,0.0,441.5,2.83,129.45,5.0,2.0,30.0,0.74,3,1,1,0,0.9989999999999999
300,MDA-MB-157,AKT,PIK3CA_4,1.0,1.0,1.0,0.3865394,52.74351148,0.203047686,3.2977051,52.68427356,-5.720383,8.0,1.18,5.0,0.0,428.9,1.32,120.16,6.0,3.0,30.0,0.57,7.0,2.13,3.0,0.0,441.5,2.83,129.45,5.0,2.0,30.0,0.74,4,1,0,0,0.9989999999999999
519,DU-4475,AKT_SGK,PIK3C,1.0,1.0,0.21287291100000005,1.7618672,0.0,0.310758967,10.0,21.99928722,-18.41464,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,10.0,2.63,1.0,1.0,513.6,2.15,144.17,5.0,4.0,35.0,0.43,6,1,3,0,0.9989999999999999
1105,NCI-H2291,Carboplatin,CSNK2A1_2,0.01,3.0,0.002491966,1.4086056,16.17811832,0.0003,0.1,80.98059690000002,10.08948,6.0,-2.34,4.0,0.0,369.2,0.54165,104.87155,2.907,1.946,26.833,0.6255,10.0,2.12,5.0,0.0,419.5,1.36,136.39,8.0,3.0,31.0,0.43,3,2,2,0,0.0
1123,NCI-H520,CarboTaxol,CSNK2A1_2,0.03,0.01,0.005892227,1.3461865,15.46126027,0.002554846,2.9757676,34.66661221,-17.578870000000002,14.0,5.0948699999999985,4.0,2.282,853.9,2.5,221.0,14.0,2.552,62.0,0.21141,10.0,2.12,5.0,0.0,419.5,1.36,136.39,8.0,3.0,31.0,0.43,7,2,3,0,0.0
259,M14,AKT,FGFR,1.0,1.0,1.0,0.0,100.0,0.304586279,2.2505694,28.89983174,-3.893005000000001,8.0,1.18,5.0,0.0,428.9,1.32,120.16,6.0,3.0,30.0,0.57,8.0,4.43,3.0,0.0,463.6,4.2,91.51,8.0,4.0,34.0,0.46,4,0,0,0,0.48536078229541946
444,HCC1569,AKT_1,PIK3C,3.0,3.0,0.321552907,1.4413987,34.86630655,1.183878635,0.4312203,0.0,29.80419,6.0,3.24,3.0,0.0,407.5,3.42,83.6,3.0,3.0,31.0,0.7,10.0,2.63,1.0,1.0,513.6,2.15,144.17,5.0,4.0,35.0,0.43,4,1,3,0,0.9989999999999999
1845,T47D,MAP2K_1,MTOR_1,1.0,3.0,0.096842656,1.0956496,9.40124575,3.0,0.3338109,66.43785045,35.50456,7.0,3.88,3.0,0.0,457.7,3.23,88.41,6.0,3.0,27.0,0.39,9.0,2.47,1.0,0.0,462.6,3.1,92.71,4.0,3.0,32.0,0.63,2,1,2,0,0.48069266770670827
976,HCC1395,BCL2L1,IAP,3.0,3.0,0.116643726,10.0,33.73190764,1.0,0.0,100.0,12.01887,9.0,3.05,2.0,1.0,651.8,3.14611,95.52711,5.21,2.337,36.429,0.54288,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,3,1,2,0,0.0
1989,MDA-MB-453,MTOR_1,SLC16A4,1.0,1.0,1.0,0.0,100.0,0.258854595,10.0,13.49871608,-14.84701,9.0,2.47,1.0,0.0,462.6,3.1,92.71,4.0,3.0,32.0,0.63,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,2,1,0,0,0.0
1541,NCI-SNU-16,FGFR,MTOR_3,3.0,0.01,0.087655762,0.7032633,17.42754608,0.003945699,10.0,35.99414109,-15.33537,8.0,4.43,3.0,0.0,463.6,4.2,91.51,8.0,4.0,34.0,0.46,14.0,6.9859399999999985,3.0,2.451,958.2,5.9,205.0,9.0,3.19,68.0,0.23458,0,0,3,0,0.48370247933884297
403,MDA-MB-468,AKT_1,EGFR,0.1,1.0,0.040987363,0.9559652,58.08535914,1.0,0.7419602,11.03481013,69.06695,6.0,3.24,3.0,0.0,407.5,3.42,83.6,3.0,3.0,31.0,0.7,8.0,4.49,2.0,0.0,485.9,3.92,88.61,8.0,3.0,34.0,0.47,1,1,0,0,0.49949999999999994
1054,HCC1569,BRAF_M2,MAP2K_1,3.0,3.0,0.0003,0.1,72.40113494,0.004632135999999999,0.2312904,65.08473665,24.46243,8.0,3.85907,2.0,0.045,453.4,3.5,86.7,4.0,3.022,33.0,0.59706,7.0,3.88,3.0,0.0,457.7,3.23,88.41,6.0,3.0,27.0,0.39,4,1,1,0,0.0
2067,M14,PIK3C,PIP5K1,1.0,1.0,0.462065512,10.0,92.39662837,0.5303978,1.7896487,27.82644727,5.194212,10.0,2.63,1.0,1.0,513.6,2.15,144.17,5.0,4.0,35.0,0.43,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,4,0,0,0,0.926
1768,NCI-H2085,IAP,TOP2_2,3.0,3.0,1.146190105,0.7098795,0.0,0.873266175,0.278107,0.0,23.87985,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,13.0,0.03,3.0,2.0,588.6,0.94,160.82,5.0,2.0,42.0,0.42,1,2,3,0,0.28961540642070394
1619,BFTC-905,HSP90,MAP2K_1,3.0,3.0,1.590871996,1.2008583000000002,0.0,0.123365261,2.0524849,0.24206233,35.24843,5.0,2.26274,2.0,0.058,409.52,3.1,67.2,4.0,3.099,30.0,0.68058,7.0,3.88,3.0,0.0,457.7,3.23,88.41,6.0,3.0,27.0,0.39,1,3,3,0,0.803
821,NCI-H2228,BCL2_2,Vinorelbine,0.1,3.0,0.042894147,0.8094453,0.0,0.010087186,0.5290946999999999,82.15846986,-15.18214,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,12.0,5.94,2.0,3.0,778.9,5.4,133.87,10.0,3.0,57.0,0.2,3,2,2,0,0.4162219626168224
