loci,grch38_gene_name
chr1:91190489-91192804,NA
chr1:230561103-230562702,NA
chr1:5937157-5937392,NPHP4
chr1:166958220-166958683,ILDR2
chr1:43832814-43833073,ST3GAL3
chr1:200011400-200012055,NA
chr1:20960045-20960551,EIF4G3
chr1:1267435-1268986,UBE2J2
chr1:169396621-169396869,CCDC181
chr1:223566642-223567268,CAPN8
chr1:57887963-57890637,DAB1
chr1:151319326-151319545,PI4KB
chr1:10757891-10758252,CASZ1
chr1:12600347-12600556,DHRS3
chr1:45082739-45083285,ZSWIM5
chr1:142618751-142619238,NA
chr1:17006742-17007151,ATP13A2
chr1:34628783-34630976,NA
chr1:154474107-154475699,NA
chr1:160340604-160340843,COPA
chr1:33741774-33742381,CSMD2
chr1:43996724-43997592,SLC6A9
chr1:1839958-1840601,GNB1
chr1:205179963-205180910,DSTYK
chr1:153755957-153756335,INTS3
chr1:179711947-179713951,NA
chr1:156814881-156815792,NTRK1
chr1:207082693-207083202,NA
chr1:53925191-53926228,HSPB11
chr1:52344178-52344939,ZFYVE9
chr1:45965586-45966049,MAST2
chr1:109656095-109656611,GSTM4
chr1:50881884-50882103,FAF1
chr1:65613041-65614898,LEPR
chr1:45476225-45477022,TESK2
chr1:91183240-91184540,NA
chr1:9258565-9258956,H6PD
chr1:152487978-152488270,NA
chr1:227922643-227923431,WNT9A
chr1:38229838-38230888,NA
chr1:1935166-1935452,CFAP74
chr1:6511689-6512110,PLEKHG5
chr1:44031286-44031853,SLC6A9
chr1:44440142-44441256,RNF220
chr1:41483418-41483693,EDN2
chr1:113249342-113250198,NA
chr1:149719314-149719640,NA
chr1:2706025-2706961,TTC34
chr1:28655365-28655667,NA
chr1:26487807-26488606,NA
chr1:231113871-231114873,NA
chr1:7887198-7887476,NA
chr1:84971344-84972491,MCOLN2
chr1:54203402-54205310,MRPL37
chr1:244211034-244212088,NA
chr1:86081700-86082068,COL24A1
chr1:48174494-48176519,SKINTL
chr1:231376796-231377243,EGLN1
chr1:205743900-205744668,NUCKS1
chr1:44871109-44874047,EIF2B3
chr1:19970255-19971923,NA
chr1:145589135-145589535,NBPF25P
chr1:2144199-2144497,PRKCZ
chr1:200116696-200117204,NR5A2
chr1:160053721-160054738,KCNJ10
chr1:222638761-222638973,MIA3
chr1:2918497-2918753,NA
chr1:6268820-6269588,ACOT7
chr1:3147845-3148081,PRDM16
chr1:146643470-146644501,HYDIN2
chr1:145507588-145507931,NA
chr1:17306551-17307363,NA
chr1:109234788-109235161,SARS
chr1:3703672-3703908,TP73
chr1:2304159-2304376,SKI
chr1:28562510-28562976,TRNAU1AP
chr1:99126872-99127711,LOC100129620
chr1:155278407-155278743,HCN3
chr1:224803637-224805314,NA
chr1:229567206-229570684,NA
chr1:25255527-25259005,NA
chr1:31538412-31538938,NA
chr1:228269729-228271501,OBSCN
chr1:29557220-29557627,NA
chr1:112162204-112162837,NA
chr1:40149431-40150013,NA
chr1:245851177-245852514,SMYD3
chr1:151812253-151812525,RORC
chr1:150254365-150254637,NA
chr1:25572966-25574521,NA
chr1:145208944-145210075,LOC103091866
chr1:36614855-36615462,NA
chr1:33366792-33367002,PHC2
chr1:153963227-153963510,SLC39A1
chr1:40366595-40368213,NA
chr1:1289707-1291126,SCNN1D
chr1:52498452-52499505,ZCCHC11
chr1:151020162-151020627,PRUNE
chr1:46632689-46632932,NA
chr1:209957721-209958167,SYT14
chr1:46016403-46016694,MAST2
chr1:8021301-8022226,ERRFI1
chr1:171753416-171753629,NA
chr1:235814280-235814488,LYST
chr1:45271679-45272318,NA
chr1:67390468-67391109,IL12RB2
chr1:184005359-184006766,COLGALT2
chr1:146552328-146552577,HYDIN2
chr1:43389835-43390551,SZT2
chr1:202317657-202318196,LGR6
chr1:66258440-66258918,PDE4B
chr1:93645432-93646471,BCAR3
chr1:231473012-231474382,NA
chr1:149857769-149859470,NA
chr1:3059050-3059268,NA
chr1:2886589-2886923,NA
chr1:15851106-15851581,SPEN
chr1:233121927-233122136,PCNXL2
chr1:17292904-17293115,NA
chr1:226270723-226271841,LIN9
chr1:53192023-53192428,NA
chr1:2415198-2415506,NA
chr1:6341136-6341412,ACOT7
chr1:178511362-178512356,NA
chr1:237947187-237947448,NA
chr1:113497986-113498206,MAGI3
chr1:161068062-161068801,ARHGAP30
chr1:98510966-98511710,NA
chr1:1355159-1356000,MXRA8
chr1:45139770-45140584,ZSWIM5
chr1:214778908-214779709,NA
chr1:155657832-155659125,NA
chr1:1159168-1159528,NA
chr1:23345814-23346677,NA
chr1:101360588-101360832,LINC01307
chr1:3351365-3351632,PRDM16
chr1:27960567-27961023,XKR8
chr1:113161591-113162571,NA
chr1:18956895-18959829,NA
chr1:116380359-116382364,ATP1A1
chr1:53098629-53099303,SLC1A7
chr1:26826676-26827474,ZDHHC18
chr1:160389103-160389386,NA
chr1:43637503-43638052,NA
chr1:27216161-27217045,NA
chr1:241802960-241803649,NA
chr1:7764593-7765856,CAMTA1
chr1:3275029-3275284,PRDM16
chr1:16543683-16544307,NA
chr1:40782220-40783145,NA
chr1:33772146-33773104,CSMD2
chr1:6051595-6052955,KCNAB2
chr1:46088194-46089142,PIK3R3
chr1:44883136-44884272,EIF2B3
chr1:56943401-56943669,C8B
chr1:3527619-3528078,MEGF6
chr1:38941919-38942404,NA
chr1:116518757-116519537,CD58
chr1:154244710-154245289,UBAP2L
chr1:230492716-230492945,NA
